gene_ID	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245
SED1	4958.93	6655.29	7117.07	6526.27	5783.67	3782.73	2792.88	2129.58	2234.06	2789.65	4167.77	5593.12	6672.11	7598.35	8225.15	6472.78	6196.7	5921.51	4996.7	5123.75	4098.12	4237.48	4662.56	5420.53	5222.33	6254.14	6338.08	7110.68	6153.38	4278.86	5040.36	4829.98	4886.76	4574.34	3911.43	3449.64	2700.43	4502.31	3921.77	5249.18	4844.31	5286.02	4928.6	5072.42	5642.99	6299.05	6351.55	5377.75	5276.59	5324.57
PIR1	107.331	142.577	132.773	100.996	68.798	40.502	29.174	20.14	15.668	14.594	14.414	16.002	38.77	322.221	1136.55	1987.79	2136.55	1933.45	1620.15	1275.92	930.767	725.617	532.038	340.606	267.345	280.953	447.786	894.884	1049.64	1039.4	1339.59	1229.49	1216.76	1168.26	1017.15	778.722	502.688	651.819	539.201	647.188	736.347	909.885	904.025	890.316	1076.68	1113.11	1147.3	1036.27	993.673	958.953
YLR297W	12.129	7.091	14.726	16.846	10.238	12.897	8.687	12.061	7.192	6.228	7.303	17.463	25.744	24.998	26.95	23.387	17.469	15.499	7.198	6.583	10.326	6.406	8.761	13.443	9.888	13.323	16.574	16.131	17.102	21.779	19.262	19.636	18.572	16.444	13.87	12.529	16.16	11.963	17.311	17.093	19.472	19.196	19.749	18.487	17.995	20.199	15.531	13.118	16.324	18.585
MCM7	18.017	29.981	33.087	68.33	68.744	46.07	26.4	17.487	13.657	15.881	26.668	43.972	57.934	70.745	73.127	76.676	72.019	61.85	52.483	44.827	39.192	31.04	28.008	28.653	32.263	36.039	46.58	47.952	51.17	41.687	50.959	45.54	47.307	41.672	39.498	28.85	24.83	34.293	31.73	35.571	39.381	39.947	41.397	40.072	46.368	42.135	40.126	42.168	39.776	40.409
PRR1	38.471	44.587	31.77	32.877	45.535	46.739	42.077	35.838	33.963	32.472	34.037	30.392	32.084	37.311	57.398	73.644	77.414	71.832	65.774	54.356	52.952	46.053	46.629	37.705	35.279	36.524	43.636	45.748	50.923	48.685	51.829	50.369	53.301	46.669	44.216	41.155	34.264	37.411	39.568	40.104	41.759	42.4	43.75	46.91	49.158	48.825	54.347	50.712	48.846	50.616
FUN26	57.16	62.52	69.024	81.48	87.399	86.692	72.679	58.819	55.148	59.244	64.321	83.978	104.253	107.465	118.972	89.69	96.45	90.671	75.324	73.979	67.281	59.774	61.73	69.001	69.302	84.236	66.252	79.866	98.299	90.385	90.148	89.621	80.625	76.347	73.17	75.918	72.62	74.405	75.598	82.892	85.056	92.866	87.522	84.091	87.726	97.851	97.857	83.37	87.654	87.688
YPL162C	37.286	50.973	43.416	40.108	38.367	30.538	32.386	35.792	38.148	43.462	48.927	53.458	52.227	54.936	56.31	51.758	49.695	42.965	36.487	36.087	33.28	37.945	40.038	38.242	39.664	41.47	44.902	46.248	46.395	26.811	42.293	41.334	41.825	43.897	32.041	27.938	21.488	39.471	30.506	41.466	40.72	39.5	45.313	43.282	45.652	45.933	43.763	42.538	43.126	40.506
SIW14	57.821	47.803	47.707	46.133	51.158	43.246	35.21	35.669	40.443	50.89	54.554	55.339	63.335	67.377	70.771	83.105	69.594	70.76	66.924	60.202	52.862	54.74	51.501	51.296	57.258	52.859	60.551	64.901	70.77	76.867	72.002	76.626	69.4	62.607	62.478	69.235	73.361	58.097	60.524	59.758	67.053	67.578	66.977	70.022	65.739	65.692	65.177	58.188	56.813	59.527
TIP1	877.818	1024.79	1088.58	990.234	1016.04	789.424	586.153	401.562	302.794	224.667	217.054	292.145	578.357	969.66	1661.23	1921.13	1812.09	1776.75	1637.61	1567.23	1256.14	1111.41	859.639	693.294	654.17	725.875	615.562	899.024	911.679	1057.43	1069.75	1012.99	935.963	876.812	772.357	768.215	627.126	592.652	586.373	631.209	657.38	721.573	624.687	617.579	618.941	603.226	569.585	474.119	424.013	374.915
AIM44	2.742	3.335	3.622	3.617	4.184	4.492	4.369	4.149	4.229	3.903	4.243	3.583	5.093	23.851	58	81.413	68.308	53.114	44.438	32.661	24.781	18.417	13.78	9.95	8.953	10.417	19.378	30.68	39.478	33.844	41.82	36.965	35.665	32.286	27.738	23.841	20.854	19.4	16.805	20.707	23.938	26.621	31.523	30.18	32.325	30.344	27.471	28.072	25.098	22.012
RER2	52.082	56.554	44.306	48.866	45.319	47.144	50.327	62.273	57.103	53.676	57.403	57.67	57.141	60.5	63.863	73.978	70.487	54.547	57.806	56.78	53.266	53.002	52.549	55.313	55.014	58.914	57.866	61.779	60.846	58.517	61.899	61.97	54.06	55.703	54.564	48.293	53.218	55.499	55.739	57.322	56.254	58.318	57.021	57.635	56.257	52.218	57.352	54.716	46.506	47.493
TOP1	17.086	22.507	19.099	23.731	29.069	29.149	28.384	24.95	23.11	23.098	20.336	19.798	20.271	27.805	29.899	34.425	40.609	37.984	32.977	32.24	29.823	26.278	27.859	24.207	23.137	21.565	23.845	25.979	27.275	26.709	28.224	27.919	29.389	28.83	27.227	25.888	23.793	22.427	23.936	22.991	25.984	23.919	26.778	26.968	26.462	26.342	29.097	25.806	24.986	26.076
JHD1	13.893	13.7	16.699	14.682	13.546	12.917	12.049	12.64	12.856	14.35	15.535	17.892	18.988	18.007	19.228	17.819	17.049	14.799	15.336	13.805	13.378	14.17	13.598	14.974	14.548	16.889	16.423	16.888	16.36	16.004	17.982	14.669	15.404	15.073	15.541	14.481	14.355	17.648	14.422	16.761	15.468	17.338	17.834	15.62	17.68	15.269	15.591	17.442	15.23	17.666
FAA3	18.602	33.402	40.508	53.323	65.911	60.91	47.528	44.216	43.515	39.94	41.8	45.652	51.605	62.535	93.173	123.824	142.083	135.788	108.967	101.931	92.006	67.513	63.529	55.461	49.352	49.666	56.977	70.457	83.18	83.233	88.041	93.822	94.032	85.554	77.373	66.726	55.588	61.924	53.644	58.055	63.127	64.521	68.01	71.381	77.29	72.449	71.896	68.395	67.066	65.103
VCX1	40.224	96.871	125.236	129.696	124.997	102.981	86.489	75.366	81.053	84.905	90.214	99.514	116.4	129.823	141.256	148.087	139.211	130.164	120.501	121.896	97.333	90.001	89.142	97.512	99.056	115.918	113.632	140.017	142.505	124.675	135.862	130.383	135.455	130.294	124.861	114.165	91.204	120.225	119.087	136.657	137.258	150.679	145.976	151.685	168.862	179.161	183.882	171.394	196.661	175.494
SIS2	37.831	44.254	46.52	39.571	35.684	36.482	36.255	40.423	34.957	38.899	43.098	42	45.18	42.618	46.731	42.517	40.888	36.544	34.298	33.23	32.276	37.695	33.859	35.662	36.429	37.731	34.276	35.88	39.892	38.344	39.172	36.919	34.34	35.93	34.045	32.522	35.399	36.278	35.269	33.397	35.731	37.008	36.757	35.938	37.184	34.692	36.007	30.325	30.603	29.761
MOD5	22.916	21.577	17.651	21.862	19.611	23.519	24.48	22.443	20.763	24.706	26.366	24.219	27.967	26.778	28.661	25.292	24.865	22.068	19.032	18.144	18.974	18.986	19.485	20.428	19.353	22.205	22.841	22.415	21.805	25.743	21.696	21.673	20.328	21.299	22.188	21.193	19.487	18.608	21.738	21.105	23.49	20.29	22.258	22.665	22.881	20.038	20.189	20.175	20.131	18.96
YKR078W	11.529	11.228	9.025	10.988	11.617	10.064	10.834	9.534	10.133	11.88	11.792	11.879	12.712	12.73	12.974	11.03	11.014	11.549	10.41	9.859	10.038	10.077	9.475	11.337	10.39	8.97	10.666	12.148	12.79	11.716	12.328	11.457	11.537	10.103	11.721	11.222	10.415	9.948	10.201	11.809	11.116	11.093	11.319	12.451	10.718	10.834	10.699	11.457	10.91	10.728
RTC1	7.452	9.318	9.217	9.626	8.49	7.365	7.03	6.268	7.628	9.173	8.974	10.005	9.672	9.352	10.703	8.611	9.032	9.045	8.602	7.346	7.768	7.262	7.095	8.356	8.307	8.598	9.127	8.575	8.274	7.81	8.677	7.898	7.066	7.474	7.327	7.124	7.426	7.431	6.686	7.059	8.445	7.909	7.776	7.72	7.645	7.538	8.102	8.426	7.052	7.584
PHO84	200.134	325.646	430.748	390.139	483.79	467.982	460.668	457.148	509.729	479.038	491.344	532.748	573.988	600.383	602.41	594.078	544.876	495.482	458.269	485.883	433.275	449.133	418.521	434.548	437.215	474.631	499.501	584.567	600.886	480.916	538.866	521.791	523.904	504.744	473.894	450.315	383.244	496.577	463.007	518.546	522.442	554.52	529.817	530.259	524.849	531.186	494.225	460.016	506.554	444.176
YIR014W	5.973	8.964	7.454	4.269	3.185	2.738	3.955	5.318	6.493	6.347	7.337	7.53	6.971	7.065	10.209	7.428	6.844	6.374	6.313	8.163	6.428	5.636	5.928	6.493	7.909	9.434	8.185	6.808	6.012	4.392	7.257	5.252	5.402	6.481	6.555	4.799	3.933	6.188	5.824	6.483	6.689	8.149	7.178	6.585	7.462	6.312	8.063	6.796	4.839	6.435
CWC25	39.384	31.034	30.103	33.684	33.218	32.034	31.718	29.817	31.889	32.365	32.443	35.357	34.103	35.063	42.157	34.378	40.24	39.222	33.915	35.279	35.328	34.215	29.076	34.143	31.734	36.862	32.079	36.434	38.426	33.482	39.747	35.128	34.997	38.341	28.765	35.922	25.948	37.971	32.311	36.684	36.935	39.905	39.788	38.61	41.712	39.962	43.027	35.754	38.311	37.161
TBS1	7.882	7.536	6.314	4.857	5.75	5.445	5.883	6.264	6.75	7.195	7.736	7.484	7.666	7.841	8.217	6.801	6.628	7.452	7.151	6.871	6.349	7.051	8.067	7.665	9.449	8.987	9.621	8.958	7.785	6.959	7.209	5.993	7.399	7.779	7.965	6.455	6.666	7.577	7.377	7.835	7.853	7.388	7.441	8.003	8.087	8.087	7.631	7.98	8.198	8.292
MCM22	17.221	16.859	11.655	13.374	15.314	14.518	16.035	17.374	22.126	23.761	23.503	23.612	23.872	19.511	24.034	18.698	18.318	15.425	13.675	18.211	18.511	16.779	20.025	18.862	17.198	21.975	16.042	20.289	19.869	22.457	19.075	19.865	18.79	18.322	18.205	19.732	18.74	19.253	18.668	20.873	21.134	19.771	22.034	18.931	18.204	21.091	15.143	19.167	17.057	17.897
TIM44	75.983	64.139	89.542	89.358	81.795	90.034	83.87	86.948	77.395	96.355	96.069	102.146	105.275	111.825	112.454	93.004	112.536	100.14	90.327	92.756	98.026	91.417	95.174	102.051	102.915	103.672	96.88	99.812	108.362	102.136	103.844	98.514	91.906	98.35	93.245	87.219	91.654	98.864	89.816	98.72	96.108	95.878	108.93	99.182	106.968	100.625	99.818	98.241	97.508	92.288
YNL058C	81.504	79.053	48.933	20.672	9.737	6.673	7.552	14.335	34.052	71.341	124.152	191.52	252.422	287.705	237.004	190.107	161.364	124.13	93.716	68.38	55.811	46.402	55.817	70.272	94.117	121.871	140.078	160.53	161.099	152.146	140.33	122.697	117.546	105.262	92.71	91.796	90.679	107.126	116.957	112.682	118.891	128.171	126.355	125.666	133.104	115.045	112.265	104.562	102.038	100.12
CHS2	8.088	8.603	9.922	6.519	5.03	4.955	5.797	9.641	25.665	54.265	92.045	120.014	137.209	141.433	117.136	84.809	65.391	50.911	39.189	29.318	24.204	25.741	34.194	53.149	60.37	75.278	82.559	87.613	86.442	57.279	60.558	52.251	50.169	45.385	39.589	35.432	33.438	48.513	51.036	66.772	69.465	66.519	67.72	61.966	63.942	67.269	67.195	58.1	58.235	57.719
HOF1	1.425	1.794	1.354	2.255	1.596	1.506	1.231	1.989	4.898	17.185	34.135	45.207	56.294	62.389	48.052	42.23	31.056	22.513	17.087	10.971	10.009	9.648	12.55	17.631	23.057	30.749	34.189	36.852	32.572	26.347	25.565	21.4	18.743	18.6	15.035	15.915	14.835	19.323	21.386	21.196	24.271	23.299	24.356	23.341	25.899	24.238	23.136	20.356	19.388	19.586
